date,region,sst_celsius,sst_anomaly,dhw,bleaching_pct,alert_level,bleaching_threshold
2000-01-01,Great Barrier Reef,26.75,0.25,0.0,1.2,0.0,28.0
2000-02-01,Great Barrier Reef,26.81,-0.59,0.0,1.2,0.0,28.0
2000-03-01,Great Barrier Reef,28.28,0.22,1.2,3.0,0.5,28.0
2000-04-01,Great Barrier Reef,28.21,-0.09,0.5,0.3,0.0,28.0
2000-05-01,Great Barrier Reef,27.92,-0.14,0.0,1.3,0.0,28.0
2000-06-01,Great Barrier Reef,26.87,-0.53,0.0,0.6,0.0,28.0
2000-07-01,Great Barrier Reef,26.3,-0.2,0.0,2.0,0.0,28.0
2000-08-01,Great Barrier Reef,25.88,0.28,0.0,0.7,0.0,28.0
2000-09-01,Great Barrier Reef,25.04,0.1,0.0,0.5,0.0,28.0
2000-10-01,Great Barrier Reef,24.64,-0.06,0.0,0.0,0.0,28.0
2000-11-01,Great Barrier Reef,25.18,0.24,0.0,0.9,0.0,28.0
2000-12-01,Great Barrier Reef,25.9,0.3,0.0,0.4,0.0,28.0
2001-01-01,Great Barrier Reef,26.62,0.12,0.0,1.0,0.0,28.0
2001-02-01,Great Barrier Reef,27.88,0.48,0.0,1.8,0.0,28.0
2001-03-01,Great Barrier Reef,28.1,0.04,0.4,1.1,0.0,28.0
2001-04-01,Great Barrier Reef,27.72,-0.58,0.0,1.4,0.0,28.0
2001-05-01,Great Barrier Reef,28.52,0.46,1.7,1.2,0.5,28.0
2001-06-01,Great Barrier Reef,27.26,-0.14,0.0,1.3,0.0,28.0
2001-07-01,Great Barrier Reef,26.36,-0.14,0.0,1.1,0.0,28.0
2001-08-01,Great Barrier Reef,25.91,0.31,0.0,0.7,0.0,28.0
2001-09-01,Great Barrier Reef,24.84,-0.1,0.0,1.3,0.0,28.0
2001-10-01,Great Barrier Reef,24.79,0.09,0.0,0.8,0.0,28.0
2001-11-01,Great Barrier Reef,24.53,-0.41,0.0,0.7,0.0,28.0
2001-12-01,Great Barrier Reef,25.37,-0.23,0.0,1.4,0.0,28.0
2002-01-01,Great Barrier Reef,27.1,0.6,0.0,1.3,0.0,28.0
2002-02-01,Great Barrier Reef,27.41,0.01,0.0,1.0,0.0,28.0
2002-03-01,Great Barrier Reef,28.11,0.05,0.7,0.8,0.0,28.0
2002-04-01,Great Barrier Reef,28.42,0.12,1.7,0.0,0.5,28.0
2002-05-01,Great Barrier Reef,28.43,0.37,2.1,10.3,0.5,28.0
2002-06-01,Great Barrier Reef,27.16,-0.24,0.0,0.0,0.0,28.0
2002-07-01,Great Barrier Reef,26.71,0.21,0.0,0.0,0.0,28.0
2002-08-01,Great Barrier Reef,25.46,-0.14,0.0,0.5,0.0,28.0
2002-09-01,Great Barrier Reef,24.51,-0.44,0.0,0.0,0.0,28.0
2002-10-01,Great Barrier Reef,24.87,0.17,0.0,2.5,0.0,28.0
2002-11-01,Great Barrier Reef,24.74,-0.2,0.0,1.8,0.0,28.0
2002-12-01,Great Barrier Reef,25.26,-0.34,0.0,2.3,0.0,28.0
2003-01-01,Great Barrier Reef,26.06,-0.44,0.0,1.3,0.0,28.0
2003-02-01,Great Barrier Reef,27.68,0.28,0.0,0.0,0.0,28.0
2003-03-01,Great Barrier Reef,28.26,0.2,1.1,4.7,0.5,28.0
2003-04-01,Great Barrier Reef,28.45,0.15,1.4,5.4,0.5,28.0
2003-05-01,Great Barrier Reef,28.19,0.13,0.6,2.9,0.0,28.0
2003-06-01,Great Barrier Reef,27.59,0.19,0.0,1.7,0.0,28.0
2003-07-01,Great Barrier Reef,26.25,-0.25,0.0,2.2,0.0,28.0
2003-08-01,Great Barrier Reef,25.4,-0.2,0.0,1.4,0.0,28.0
2003-09-01,Great Barrier Reef,25.23,0.29,0.0,0.8,0.0,28.0
2003-10-01,Great Barrier Reef,24.52,-0.18,0.0,0.2,0.0,28.0
2003-11-01,Great Barrier Reef,24.96,0.02,0.0,1.3,0.0,28.0
2003-12-01,Great Barrier Reef,25.89,0.29,0.0,2.5,0.0,28.0
2004-01-01,Great Barrier Reef,26.48,-0.02,0.0,1.6,0.0,28.0
2004-02-01,Great Barrier Reef,27.2,-0.2,0.0,1.5,0.0,28.0
2004-03-01,Great Barrier Reef,28.05,-0.01,0.3,1.5,0.0,28.0
2004-04-01,Great Barrier Reef,28.34,0.04,1.0,0.0,0.5,28.0
2004-05-01,Great Barrier Reef,27.98,-0.07,0.0,1.2,0.0,28.0
2004-06-01,Great Barrier Reef,27.09,-0.31,0.0,1.4,0.0,28.0
2004-07-01,Great Barrier Reef,26.29,-0.21,0.0,1.1,0.0,28.0
2004-08-01,Great Barrier Reef,25.32,-0.28,0.0,1.6,0.0,28.0
2004-09-01,Great Barrier Reef,25.33,0.38,0.0,0.0,0.0,28.0
2004-10-01,Great Barrier Reef,24.48,-0.22,0.0,1.5,0.0,28.0
2004-11-01,Great Barrier Reef,25.16,0.21,0.0,1.6,0.0,28.0
2004-12-01,Great Barrier Reef,26.0,0.4,0.0,1.7,0.0,28.0
2005-01-01,Great Barrier Reef,26.48,-0.02,0.0,0.2,0.0,28.0
2005-02-01,Great Barrier Reef,27.4,0.0,0.0,1.1,0.0,28.0
2005-03-01,Great Barrier Reef,28.83,0.77,1.5,7.8,0.5,28.0
2005-04-01,Great Barrier Reef,27.89,-0.41,0.0,2.1,0.0,28.0
2005-05-01,Great Barrier Reef,28.15,0.09,0.4,0.3,0.0,28.0
2005-06-01,Great Barrier Reef,27.68,0.28,0.0,1.2,0.0,28.0
2005-07-01,Great Barrier Reef,26.59,0.09,0.0,3.1,0.0,28.0
2005-08-01,Great Barrier Reef,25.87,0.27,0.0,1.2,0.0,28.0
2005-09-01,Great Barrier Reef,24.82,-0.12,0.0,0.2,0.0,28.0
