year,lat,lon,sst_anomaly
2015,-30.0,-180,0.142
2015,-30.0,-175,0.08
2015,-30.0,-170,-0.159
2015,-30.0,-165,-0.0
2015,-30.0,-160,0.145
2015,-30.0,-155,0.005
2015,-30.0,-150,0.084
2015,-30.0,-145,0.218
2015,-30.0,-140,0.168
2015,-30.0,-135,0.305
2015,-30.0,-130,0.191
2015,-30.0,-125,0.199
2015,-30.0,-120,0.04
2015,-30.0,-115,-0.053
2015,-30.0,-110,0.084
2015,-30.0,-105,0.037
2015,-30.0,-100,0.121
2015,-30.0,-95,-0.013
2015,-30.0,-90,0.273
2015,-30.0,-85,0.037
2015,-30.0,-80,0.092
2015,-30.0,-75,0.143
2015,-30.0,-70,0.315
2015,-30.0,-65,0.41
2015,-30.0,-60,0.421
2015,-30.0,-35,0.193
2015,-30.0,-30,0.059
2015,-30.0,-25,0.047
2015,-30.0,-20,-0.003
2015,-30.0,55,0.075
2015,-30.0,60,-0.055
2015,-30.0,65,0.354
2015,-30.0,70,0.152
2015,-30.0,75,0.438
2015,-30.0,80,0.16
2015,-30.0,85,0.171
2015,-30.0,90,0.002
2015,-30.0,95,0.083
2015,-30.0,100,-0.087
2015,-30.0,105,-0.055
2015,-30.0,110,0.258
2015,-30.0,115,0.104
2015,-30.0,120,0.083
2015,-30.0,125,0.035
2015,-30.0,130,0.089
2015,-30.0,135,0.316
2015,-30.0,140,0.168
2015,-30.0,145,-0.031
2015,-30.0,150,0.301
2015,-30.0,155,0.405
2015,-30.0,160,0.221
2015,-30.0,165,0.28
2015,-30.0,170,0.33
2015,-30.0,175,-0.102
2015,-30.0,180,0.426
2015,-27.5,-180,0.384
2015,-27.5,-175,0.293
2015,-27.5,-170,0.201
2015,-27.5,-165,0.019
2015,-27.5,-160,0.17
2015,-27.5,-155,0.287
2015,-27.5,-150,0.054
2015,-27.5,-145,0.209
2015,-27.5,-140,0.042
2015,-27.5,-135,0.162
2015,-27.5,-130,0.017
2015,-27.5,-125,0.001
2015,-27.5,-120,0.271
2015,-27.5,-115,0.133
2015,-27.5,-110,0.147
2015,-27.5,-105,0.125
2015,-27.5,-100,0.628
2015,-27.5,-95,0.311
2015,-27.5,-90,0.327
2015,-27.5,-85,0.103
2015,-27.5,-80,0.295
2015,-27.5,-75,0.185
2015,-27.5,-70,0.102
2015,-27.5,-65,0.509
2015,-27.5,-60,0.306
2015,-27.5,-35,0.134
2015,-27.5,-30,0.312
2015,-27.5,-25,0.322
2015,-27.5,-20,0.229
2015,-27.5,55,0.133
2015,-27.5,60,0.264
2015,-27.5,65,0.248
2015,-27.5,70,0.226
2015,-27.5,75,0.194
2015,-27.5,80,-0.028
2015,-27.5,85,0.069
2015,-27.5,90,0.388
2015,-27.5,95,0.284
2015,-27.5,100,0.506
2015,-27.5,105,0.064
2015,-27.5,110,0.215
2015,-27.5,115,0.394
2015,-27.5,120,0.135
2015,-27.5,125,0.147
2015,-27.5,130,0.176
2015,-27.5,135,0.153
2015,-27.5,140,0.299
2015,-27.5,145,-0.047
2015,-27.5,150,0.466
2015,-27.5,155,0.076
2015,-27.5,160,-0.098
2015,-27.5,165,0.218
2015,-27.5,170,0.163
2015,-27.5,175,0.193
2015,-27.5,180,0.267
2015,-25.0,-180,0.39
2015,-25.0,-175,0.546
2015,-25.0,-170,0.189
2015,-25.0,-165,0.409
2015,-25.0,-160,0.399
2015,-25.0,-155,-0.103
2015,-25.0,-150,0.168
2015,-25.0,-145,0.1
2015,-25.0,-140,0.36
2015,-25.0,-135,0.344
2015,-25.0,-130,0.347
2015,-25.0,-125,0.247
2015,-25.0,-120,0.262
2015,-25.0,-115,0.289
2015,-25.0,-110,0.233
2015,-25.0,-105,0.409
2015,-25.0,-100,0.132
2015,-25.0,-95,0.176
2015,-25.0,-90,0.311
2015,-25.0,-85,0.238
2015,-25.0,-80,0.127
2015,-25.0,-75,0.373
2015,-25.0,-70,0.207
2015,-25.0,-65,0.166
2015,-25.0,-60,0.267
2015,-25.0,-35,0.217
2015,-25.0,-30,0.442
2015,-25.0,-25,0.348
2015,-25.0,-20,0.036
2015,-25.0,55,0.237
2015,-25.0,60,0.327
2015,-25.0,65,0.145
2015,-25.0,70,0.058
2015,-25.0,75,0.133
2015,-25.0,80,0.35
2015,-25.0,85,0.269
2015,-25.0,90,0.46
2015,-25.0,95,0.283
2015,-25.0,100,0.419
2015,-25.0,105,0.189
2015,-25.0,110,0.228
2015,-25.0,115,0.294
2015,-25.0,120,0.271
2015,-25.0,125,0.257
2015,-25.0,130,0.162
2015,-25.0,135,0.055
2015,-25.0,140,0.388
2015,-25.0,145,0.371
2015,-25.0,150,0.201
2015,-25.0,155,0.35
2015,-25.0,160,0.268
2015,-25.0,165,0.459
2015,-25.0,170,0.096
2015,-25.0,175,0.274
2015,-25.0,180,0.262
2015,-22.5,-180,0.39
2015,-22.5,-175,0.597
2015,-22.5,-170,0.348
2015,-22.5,-165,0.478
2015,-22.5,-160,0.344
2015,-22.5,-155,0.527
2015,-22.5,-150,0.479
2015,-22.5,-145,0.316
2015,-22.5,-140,0.305
2015,-22.5,-135,0.439
2015,-22.5,-130,0.268
2015,-22.5,-125,0.395
2015,-22.5,-120,0.313
2015,-22.5,-115,0.421
2015,-22.5,-110,0.342
2015,-22.5,-105,0.262
2015,-22.5,-100,0.532
2015,-22.5,-95,0.402
2015,-22.5,-90,0.358
2015,-22.5,-85,0.429
2015,-22.5,-80,0.115
2015,-22.5,-75,0.68
2015,-22.5,-70,0.37
2015,-22.5,-65,0.072
2015,-22.5,-60,0.546
2015,-22.5,-35,0.405
2015,-22.5,-30,0.394
2015,-22.5,-25,0.539
2015,-22.5,-20,0.444
2015,-22.5,55,0.373
2015,-22.5,60,0.212
2015,-22.5,65,0.34
2015,-22.5,70,0.455
2015,-22.5,75,0.379
2015,-22.5,80,0.421
2015,-22.5,85,0.571
2015,-22.5,90,0.453
2015,-22.5,95,0.396
2015,-22.5,100,0.089
2015,-22.5,105,0.248
2015,-22.5,110,0.305
2015,-22.5,115,0.07
2015,-22.5,120,0.2
2015,-22.5,125,0.326
2015,-22.5,130,0.35
2015,-22.5,135,0.442
2015,-22.5,140,0.335
2015,-22.5,145,0.403
2015,-22.5,150,0.303
2015,-22.5,155,0.372
2015,-22.5,160,0.434
2015,-22.5,165,0.587
2015,-22.5,170,0.289
2015,-22.5,175,0.388
2015,-22.5,180,0.496
2015,-20.0,-180,0.223
2015,-20.0,-175,0.739
2015,-20.0,-170,0.616
2015,-20.0,-165,0.183
2015,-20.0,-160,0.495
